Unnamed: 0,ano,nivel,tipo_contrato,cargo,salary,salary_currency,salario_usd,pais_profissional,remoto_ratio,pais_empresa,company_size,nivel_legivel,modalidade
212,2021,MI,FT,Data Engineer,48000,GBP,66022,HK,50,GB,S,Pleno/Mid,Híbrido
213,2021,EN,FT,Big Data Engineer,435000,INR,5882,IN,0,CH,L,Júnior/Entry,Presencial
214,2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M,Júnior/Entry,Híbrido
215,2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L,Sênior,Remoto
216,2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S,Júnior/Entry,Híbrido
217,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L,Pleno/Mid,Híbrido
218,2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M,Pleno/Mid,Remoto
219,2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L,Sênior,Remoto
220,2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L,Pleno/Mid,Remoto
221,2021,MI,FT,Data Scientist,85000,GBP,116914,GB,50,GB,L,Pleno/Mid,Híbrido
222,2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M,Pleno/Mid,Presencial
223,2021,MI,FT,Data Scientist,40900,GBP,56256,GB,50,GB,L,Pleno/Mid,Híbrido
224,2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L,Sênior,Remoto
225,2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S,Diretoria/Exec,Remoto
226,2021,SE,FT,Data Scientist,110000,CAD,87738,CA,100,CA,S,Sênior,Remoto
227,2021,MI,FT,Data Scientist,75000,EUR,88654,DE,50,DE,L,Pleno/Mid,Híbrido
228,2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L,Sênior,Presencial
229,2021,SE,FT,Data Analyst,90000,CAD,71786,CA,100,CA,M,Sênior,Remoto
230,2021,EN,FT,Big Data Engineer,1200000,INR,16228,IN,100,IN,L,Júnior/Entry,Remoto
231,2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S,Sênior,Remoto
232,2021,SE,FT,Director of Data Engineering,200000,USD,200000,US,100,US,L,Sênior,Remoto
233,2021,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L,Sênior,Remoto
234,2021,MI,FT,Data Architect,180000,USD,180000,US,100,US,L,Pleno/Mid,Remoto
235,2021,MI,FT,Head of Data Science,110000,USD,110000,US,0,US,S,Pleno/Mid,Presencial
236,2021,MI,FT,Research Scientist,80000,CAD,63810,CA,100,CA,M,Pleno/Mid,Remoto
237,2021,MI,FT,Data Scientist,39600,EUR,46809,ES,100,ES,M,Pleno/Mid,Remoto
238,2021,EN,FT,Data Scientist,4000,USD,4000,VN,0,VN,M,Júnior/Entry,Presencial
239,2021,EN,FT,Data Engineer,1600000,INR,21637,IN,50,IN,M,Júnior/Entry,Híbrido
240,2021,SE,FT,Data Scientist,130000,CAD,103691,CA,100,CA,L,Sênior,Remoto
241,2021,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L,Pleno/Mid,Remoto
242,2021,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,Pleno/Mid,Remoto
243,2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L,Sênior,Remoto
244,2021,EN,FT,AI Scientist,1335000,INR,18053,IN,100,AS,S,Júnior/Entry,Remoto
245,2021,MI,FT,Data Engineer,52500,GBP,72212,GB,50,GB,L,Pleno/Mid,Híbrido
246,2021,EN,FT,Data Scientist,31000,EUR,36643,FR,50,FR,L,Júnior/Entry,Híbrido
247,2021,MI,FT,Data Engineer,108000,TRY,12103,TR,0,TR,M,Pleno/Mid,Presencial
248,2021,SE,FT,Data Engineer,70000,GBP,96282,GB,50,GB,L,Sênior,Híbrido
249,2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M,Sênior,Remoto
250,2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L,Pleno/Mid,Híbrido
251,2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S,Júnior/Entry,Remoto
252,2021,EX,FT,Principal Data Engineer,600000,USD,600000,US,100,US,L,Diretoria/Exec,Remoto
253,2021,EN,FT,Data Scientist,2100000,INR,28399,IN,100,IN,M,Júnior/Entry,Remoto
254,2021,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L,Pleno/Mid,Remoto
255,2021,SE,FT,Big Data Architect,125000,CAD,99703,CA,50,CA,M,Sênior,Híbrido
256,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L,Pleno/Mid,Remoto
257,2021,SE,FT,Principal Data Scientist,147000,EUR,173762,DE,100,DE,M,Sênior,Remoto
258,2021,SE,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L,Sênior,Híbrido
259,2021,EX,FT,Director of Data Science,120000,EUR,141846,DE,0,DE,L,Diretoria/Exec,Presencial
260,2021,MI,FT,Data Scientist,130000,USD,130000,US,50,US,L,Pleno/Mid,Híbrido
261,2021,SE,FT,Data Analyst,54000,EUR,63831,DE,50,DE,L,Sênior,Híbrido
262,2021,MI,FT,Data Scientist,1250000,INR,16904,IN,100,IN,S,Pleno/Mid,Remoto
